trade_id,tenant_id,order_id,code,side,quantity,price,commission,tax,executed_at
trd-cf39f9e7,default,ord-56157de9,600519,buy,100,1800.0,0.0,0.0,2026-09-21T15:56:01.272335
trd-9ca5ae5b,default,ord-76c82fe0,600519,buy,100,1800.0,0.0,0.0,2026-09-21T16:11:49.658603
trd-ee35d094,default,ord-dbad1bc4,600519,buy,100,1800.0,0.0,0.0,2026-09-21T16:17:42.967753
trd-ae4e3b94,default,ord-41601dbe,600519,buy,100,1800.0,0.0,0.0,2026-09-21T16:35:31.621817
trd-e622967f,default,ord-c7c92198,600519,buy,100,1800.0,0.0,0.0,2026-09-21T17:34:35.941806
trd-2823edf5,default,ord-b32ccc58,600519,buy,100,1800.0,0.0,0.0,2026-09-22T16:17:41.744003
trd-51809104,default,ord-7e97bd6a,600519,buy,100,1800.0,0.0,0.0,2026-09-22T17:16:49.158735
trd-8a697914,default,ord-35875797,600519,buy,100,1800.0,0.0,0.0,2026-09-22T17:40:56.352909
trd-e2fd5cc5,default,ord-ec1e3c42,600519,buy,100,1800.0,0.0,0.0,2026-09-22T18:51:59.069921
trd-68d29ff5,default,ord-15c24b2f,600519,buy,100,1800.0,0.0,0.0,2026-09-23T08:50:44.295395
trd-61730028,default,ord-c70a0e02,600519,buy,100,1800.0,0.0,0.0,2026-09-23T09:02:50.329494
trd-e0a375e7,default,ord-8a05c107,600519,buy,100,1800.0,0.0,0.0,2026-09-23T09:24:36.737734
trd-b140e7ea,default,ord-e82d09cf,600519,buy,100,1800.0,0.0,0.0,2026-09-23T12:08:40.442756
trd-d7f1d755,default,ord-a9e7fef6,600519,buy,100,1800.0,0.0,0.0,2026-09-23T12:12:54.598375
